Fecha,URL,Título,Constructor,Item,Unidades,Direccion_Principal,Direccion_Asociadas,lat/lon
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/arroyuelos/10223413,Casa en venta,ARROYUELOS,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""3"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""No disponible"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '30.05', 'm² priv.': '27.45', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '1 Hab', 'Baños': '1', 'Precio': '$ 149.721.595'}]","Cali, Valle del cauca",",Cali","(3.6839729132965244, -76.32087349891663)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/claro-verde/15017326,CLARO VERDE,CONSTRUCTORA BOLIVAR CALI,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""2"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""80"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '41.03', 'm² priv.': '36.14', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '2 Hab', 'Baños': '1', 'Precio': '$ 149.721.595'}]","Jamundí, Valle del cauca","Juan de ampudia,Jamundí","(3.26091025, -76.53666369999999)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/pellares-del-castillo-tipo-a/7107296,Casa en venta,PELLARES DEL CASTILLO TIPO A,"{
  ""Estado"": ""En construcción"",
  ""Estrato"": ""5"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""Financiación: 70%"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '141', 'm² priv.': '141', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 650.400.000'}, {'m² const.': '170', 'm² priv.': '170', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 760.700.000'}]","El Castillo, Cali, Valle del cauca","El Castillo, Cascajal,Comuna 22,Cali","(3.26091025, -76.53666369999999)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/teca/15017389,Teca,Teca,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""6"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""20"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""2"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '120.94', 'm² priv.': '108.52', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '4', 'Precio': '$ 814.579.858'}]","Valle del Lili, Cali, Valle del cauca","Valle del Lili, Lili, Senderos del Lili","(3.3798522, -76.53322595)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/claro-alto/15017327,Claro Alto,CLARO ALTO,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""2"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""80"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '63.33', 'm² priv.': '56.63', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '2 Hab', 'Baños': '1', 'Precio': '$ 214.602.933'}]","Jamundí, Valle del cauca","Juan de ampudia,Jamundí","(3.26091025, -76.53666369999999)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/baume/15016863,Baume,Baume,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""4"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""20"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '92.66', 'm² priv.': '', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '2', 'Precio': '$ 409.352.252'}, {'m² const.': '111.07', 'm² priv.': '', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '2', 'Precio': '$ 494.766.838'}]","La Morada, Jamundí, Valle del cauca","La aurora, La Morada, Arizona","(3.26091025, -76.53666369999999)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/brassia-campestre/10341233,Casa en venta,BRASSIA CAMPESTRE,"{
  ""Estado"": ""Sobre planos"",
  ""Estrato"": ""6"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""No disponible"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '190.34', 'm² priv.': '141.91', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 777.000.000'}]","El eden, La tebaida, Quindio","El eden,La tebaida","(4.451821742982347, -75.77805876731873)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/pradera-hacienda-campestre/2728601,PRADERA HACIENDA CAMPESTRE,PRADERA HACIENDA CAMPESTRE,"{
  ""Estado"": ""En construcción"",
  ""Estrato"": ""5"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""Financiación: 40% | Método de pago: 20 meses"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '140', 'm² priv.': '', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '2 Hab', 'Baños': '3', 'Precio': '$ 949.900.000'}, {'m² const.': '182', 'm² priv.': '', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '4 Hab', 'Baños': '5', 'Precio': '$ 1.100.330.000'}]","La pradera, Dosquebradas, Risaralda","Muebles pereira, La pradera, Santa monica, ...","(4.8206555, -75.6821859)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/zakura-silver/5418228,Casa en venta,ZAKURA SILVER,"{
  ""Estado"": ""En construcción"",
  ""Estrato"": ""5"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""70"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '78', 'm² priv.': '78', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 360.000.000'}]","Lomitas, Villa del rosario, Norte de santander","Lomitas,Villa del rosario","(7.8559015500000005, -72.4846967)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/serenity-homes/15017133,Serenity Homes,Serenity Homes,"{
  ""Estado"": ""En construcción"",
  ""Estrato"": ""6"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""No disponible"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '116.4', 'm² priv.': '106.6', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 621.464.913'}, {'m² const.': '116.4', 'm² priv.': '112.76', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 751.627.330'}]","El Caimo, Armenia, Quindio","El Caimo, Vía El Caimo,Armenia","(4.477171931536279, -75.70825695991516)"
02/05/2025,https://www.fincaraiz.com.co/proyectos-vivienda/zakura-gold/1336838,Casa en venta,Zakura Gold,"{
  ""Estado"": ""En construcción"",
  ""Estrato"": ""5"",
  ""Parqueaderos"": ""No disponible"",
  ""Financiación"": ""Financiación: 70% | Método de pago: Separación 5% del valor del inmueble - Cuota inicial 25% del valor del inmueble - Financiación 70%"",
  ""Formas de pago"": ""No disponible"",
  ""Cuota inicial"": ""No disponible"",
  ""Pisos interiores"": ""No disponible"",
  ""Aplica subsidio"": ""No disponible""
}","[{'m² const.': '134.26', 'm² priv.': '134.26', 'Tipo de Inmueble': 'Casa', 'Hab/Amb': '3 Hab', 'Baños': '3', 'Precio': '$ 550.000.000'}]","Villa del rosario, Norte de santander","Lomitas,Villa del rosario","(7.8559015500000005, -72.4846967)"
